date,description,amount
2026-04-01,Salary Credit,120000
2026-04-01,Swiggy Order,-680
2026-04-02,Amazon Purchase,-8499
2026-04-03,Netflix Subscription,-649
2026-04-03,Disney Plus Hotstar,-299
2026-04-04,Uber Ride,-380
2026-04-05,Zomato Delivery,-920
2026-04-06,Electricity Bill Payment,-4200
2026-04-07,Spotify Premium,-299
2026-04-08,Myntra Fashion,-6499
2026-04-09,Ola Cab,-420
2026-04-10,Swiggy Order,-1100
2026-04-11,Broadband Internet Bill,-1499
2026-04-12,Apple Music,-199
2026-04-13,Flipkart Order,-12999
2026-04-14,Uber Ride,-560
2026-04-15,Zomato Delivery,-1450
2026-04-16,Mobile Bill Postpaid,-1499
2026-04-17,Gym Membership,-3000
2026-04-18,Amazon Purchase,-5999
2026-04-19,Petrol Pump,-4500
2026-04-20,Netflix Subscription,-649
2026-04-21,Uber Ride,-490
2026-04-22,Swiggy Order,-1280
2026-04-23,LinkedIn Learning,-2499
2026-04-24,Electricity Bill Payment,-4200
2026-04-25,Spotify Premium,-299
2026-04-26,Myntra Fashion,-9999
2026-04-27,Amazon Purchase,-3499
2026-04-28,Ola Cab,-650
2026-04-29,Zerodha SIP Investment,-15000
2026-04-30,Zomato Delivery,-870
2026-05-01,Salary Credit,120000
2026-05-01,Freelance Bonus,25000
2026-05-02,Swiggy Order,-950
2026-05-03,Netflix Subscription,-649
2026-05-03,Disney Plus Hotstar,-299
2026-05-04,Amazon Purchase,-14999
2026-05-05,Uber Ride,-440
2026-05-06,Electricity Bill Payment,-4350
2026-05-07,Zomato Delivery,-1680
2026-05-08,Spotify Premium,-299
2026-05-09,Flipkart Order,-7999
2026-05-10,Ola Cab,-380
2026-05-11,Swiggy Order,-1350
2026-05-12,Broadband Internet Bill,-1499
2026-05-13,Apple Music,-199
2026-05-14,Myntra Fashion,-11999
2026-05-15,Uber Ride,-520
2026-05-16,Zomato Delivery,-1920
2026-05-17,Mobile Bill Postpaid,-1499
2026-05-18,Gym Membership,-3000
2026-05-19,Amazon Purchase,-8999
2026-05-20,Netflix Subscription,-649
2026-05-21,Petrol Pump,-4800
2026-05-22,Uber Ride,-610
2026-05-23,Swiggy Order,-1180
2026-05-24,AWS Certification,-7500
2026-05-25,Electricity Bill Payment,-4350
2026-05-26,Spotify Premium,-299
2026-05-27,Zerodha SIP Investment,-15000
2026-05-28,Amazon Purchase,-4599
2026-05-29,Ola Cab,-490
2026-05-30,Zomato Delivery,-1100
