date,description,amount
2026-04-01,Scholarship Credit,18000
2026-04-02,Zomato Delivery,-320
2026-04-03,Amazon Purchase,-899
2026-04-04,Netflix Subscription,-149
2026-04-05,Metro Card Recharge,-500
2026-04-06,Swiggy Order,-280
2026-04-07,College Fees,-5000
2026-04-08,Spotify Premium,-59
2026-04-09,Udemy Course,-499
2026-04-10,Ola Cab,-120
2026-04-11,Zomato Delivery,-350
2026-04-12,Mobile Bill Postpaid,-299
2026-04-13,Flipkart Order,-799
2026-04-14,Metro Card Recharge,-500
2026-04-15,Swiggy Order,-410
2026-04-16,Apollo Pharmacy,-240
2026-04-17,Amazon Purchase,-599
2026-04-18,Zomato Delivery,-290
2026-04-19,Stationary Books,-650
2026-04-20,Netflix Subscription,-149
2026-04-21,Ola Cab,-95
2026-04-22,Swiggy Order,-360
2026-04-23,Coursera Certificate,-1499
2026-04-24,Mobile Bill Postpaid,-299
2026-04-25,Spotify Premium,-59
2026-04-26,Amazon Purchase,-449
2026-04-27,Zomato Delivery,-380
2026-04-28,Metro Card Recharge,-500
2026-04-29,Gym Membership,-800
2026-04-30,Internship Stipend,8000
2026-05-01,Scholarship Credit,18000
2026-05-02,Swiggy Order,-420
2026-05-03,Netflix Subscription,-149
2026-05-04,Amazon Purchase,-1199
2026-05-05,Ola Cab,-140
2026-05-06,Zomato Delivery,-310
2026-05-07,College Fees,-5000
2026-05-08,Spotify Premium,-59
2026-05-09,Flipkart Order,-599
2026-05-10,Metro Card Recharge,-500
2026-05-11,Swiggy Order,-390
2026-05-12,Mobile Bill Postpaid,-299
2026-05-13,Udemy Course,-799
2026-05-14,Ola Cab,-110
2026-05-15,Zomato Delivery,-450
2026-05-15,Internship Stipend,8000
2026-05-16,Apollo Pharmacy,-180
2026-05-17,Amazon Purchase,-349
2026-05-18,Swiggy Order,-330
2026-05-19,Netflix Subscription,-149
2026-05-20,Stationary Books,-420
2026-05-21,Gym Membership,-800
2026-05-22,Zomato Delivery,-280
2026-05-23,Metro Card Recharge,-500
2026-05-24,Mobile Bill Postpaid,-299
2026-05-25,Spotify Premium,-59
2026-05-26,Swiggy Order,-460
2026-05-27,Ola Cab,-130
2026-05-28,Amazon Purchase,-899
2026-05-29,Zomato Delivery,-370
2026-05-30,Coursera Certificate,-999
