date,description,amount
2026-05-01,Salary Credit,55000
2026-05-02,Swiggy Order,-340
2026-05-03,Amazon Purchase,-1299
2026-05-04,Netflix Subscription,-649
2026-05-05,Uber Ride,-180
2026-05-06,Zomato Delivery,-420
2026-05-07,Electricity Bill Payment,-1840
2026-05-08,Spotify Premium,-299
2026-05-09,Flipkart Order,-2199
2026-05-10,Ola Cab,-220
2026-05-11,Swiggy Order,-560
2026-05-12,Mobile Bill Postpaid,-799
2026-05-13,Myntra Fashion,-1499
2026-05-14,Uber Ride,-150
2026-05-15,Zomato Delivery,-380
2026-05-15,Freelance Payment,12000
2026-05-16,Broadband Internet Bill,-999
2026-05-17,Amazon Purchase,-899
2026-05-18,Swiggy Order,-310
2026-05-19,Petrol Pump,-2200
2026-05-20,Netflix Subscription,-649
2026-05-20,Apollo Pharmacy,-540
2026-05-21,Uber Ride,-200
2026-05-22,Zomato Delivery,-490
2026-05-23,Udemy Course,-1299
2026-05-24,Electricity Bill Payment,-1840
2026-05-25,Spotify Premium,-299
2026-05-25,Gym Membership,-1500
2026-05-26,Amazon Purchase,-3499
2026-05-27,Swiggy Order,-450
2026-05-28,Ola Cab,-260
2026-05-29,Mobile Bill Postpaid,-799
2026-05-30,Myntra Fashion,-2199
2026-05-31,Zerodha SIP Investment,-5000
2026-06-01,Salary Credit,55000
2026-06-01,Swiggy Order,-620
2026-06-02,Netflix Subscription,-649
2026-06-02,Amazon Purchase,-1899
2026-06-03,Uber Ride,-190
2026-06-03,Electricity Bill Payment,-1920
2026-06-04,Zomato Delivery,-510
2026-06-05,Spotify Premium,-299
2026-06-05,Flipkart Order,-1599
2026-06-06,Ola Cab,-240
2026-06-06,Swiggy Order,-390
2026-06-07,Broadband Internet Bill,-999
2026-06-07,Doctor Consultation,-800
2026-06-08,Amazon Purchase,-2499
2026-06-08,Uber Ride,-170
2026-06-09,Zomato Delivery,-440
2026-06-09,Mobile Bill Postpaid,-799
2026-06-10,Myntra Fashion,-3299
2026-06-10,Swiggy Order,-580
2026-06-11,Petrol Pump,-2100
2026-06-11,Netflix Subscription,-649
2026-06-12,Gym Membership,-1500
2026-06-12,Zerodha SIP Investment,-5000
2026-06-13,Uber Ride,-210
2026-06-13,Swiggy Order,-460
